Season,Player,Team,Games Played,Minutes per Game,Age,Games Started,Minutes per Game,Player Per Game Field Goals Made,Player Per Game Field Goals Attempted,Player Per Game Field Goal Percentage,Player Per Game 3 Pointers Made,Player Per Game 3 Pointers Attempted,Player Per Game Two Pointers Made,Player Per Game Two Pointers Attempted,Player Per Game Two Pointers Percentage,Player Per Game Effective Field Goal Percentage,Player Per Game Free Throws Made,Player Per Game Free Throws Attempted,Player Per Game Free Throw Percentage,Player Per Game Offensive Rebounds,Player Per Game Defensive Rebounds,Player Per Game Total Rebounds,Player Per Game Assists,Player Per Game Steals,Player Per Game Blocks,Player Per Game Turnovers,Player Per Game Personal Fouls,Player Per Game Points Per Game,Player Per Game 3 Pointers Percentage,Position
2001,Derek Anderson,San Antonio,82,34.9,26,82,34.9,5.0,12.1,.416,1.2,3.1,3.8,9.0,.422,.467,4.2,4.9,.851,0.9,3.5,4.4,3.7,1.5,0.2,2.0,2.3,15.5,.399,SG
2001,Khalid El-Amin,Chicago,50,18.7,21,14,18.7,2.3,6.2,.370,0.6,1.7,1.7,4.5,.383,.415,1.1,1.4,.778,0.4,1.2,1.6,2.9,1.0,0.0,1.1,2.0,6.3,.333,PG
2001,Isaac Austin,Memphis,52,16.3,31,16,16.3,1.8,5.2,.356,0.1,0.5,1.7,4.7,.366,.367,0.5,0.8,.700,1.0,3.3,4.3,1.1,0.4,0.4,1.0,1.8,4.3,.250,C
2001,Nazr Mohammed,Atlanta,28,25.6,23,19,25.6,4.8,10.0,.480,0.0,0.0,4.8,10.0,.482,.480,2.7,3.5,.765,3.5,5.5,9.0,0.6,0.8,1.0,2.0,2.6,12.3,.000,C
2001,David Wesley,Charlotte,82,37.9,30,82,37.9,6.4,15.1,.422,1.2,3.1,5.2,12.0,.434,.461,3.3,4.1,.799,0.8,2.0,2.7,4.4,1.6,0.2,2.1,2.7,17.2,.376,SG
2001,Paul McPherson,Golden State,22,13.0,22,0,13.0,2.8,5.5,.517,0.1,0.3,2.7,5.2,.526,.525,1.1,1.5,.706,0.9,0.5,1.4,1.0,0.6,0.0,1.1,1.5,6.8,.333,PG
2001,Anthony Miller,Philadelphia,1,2.0,29,0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PF
2001,Malik Rose,San Antonio,57,21.4,26,9,21.4,2.8,6.5,.435,0.1,0.3,2.8,6.2,.447,.439,2.0,2.8,.713,1.7,3.7,5.4,0.8,1.0,0.7,1.3,2.6,7.7,.176,PF
2001,Garth Joseph,Denver,2,4.0,27,0,4.0,0.0,1.5,.000,0.0,0.0,0.0,1.5,.000,.000,0.0,1.0,.000,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,,C
2001,Tony Smith,Atlanta,6,13.0,32,0,13.0,1.3,3.8,.348,0.0,0.3,1.3,3.5,.381,.348,0.2,0.3,.500,0.3,0.2,0.5,1.7,1.2,0.0,1.5,2.0,2.8,.000,SG
2001,Jason Caffey,Milwaukee,70,20.9,27,33,20.9,2.6,5.2,.488,0.0,0.0,2.6,5.2,.488,.488,2.0,3.0,.673,1.9,3.1,5.0,0.8,0.5,0.4,1.1,2.6,7.1,,PF
2001,Terrance Roberson,Charlotte,3,4.3,24,0,4.3,0.0,0.7,.000,0.0,0.3,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.7,1.0,0.0,.000,SF
2001,Ruben Garces,Golden State,3,3.7,27,0,3.7,0.0,2.3,.000,0.0,0.0,0.0,2.3,.000,.000,0.0,0.0,,1.3,1.0,2.3,0.3,0.3,0.3,0.0,0.0,0.0,,PF
2001,Jason Williams,Sacramento,77,29.7,25,77,29.7,3.6,9.0,.407,1.3,4.0,2.4,4.9,.483,.478,0.8,1.0,.789,0.2,2.2,2.4,5.4,1.2,0.1,2.1,1.5,9.4,.315,PG
2001,Michael Hawkins,Cleveland,10,7.6,28,0,7.6,0.3,0.9,.333,0.2,0.4,0.1,0.5,.200,.444,0.0,0.0,,0.2,0.3,0.5,1.3,0.2,0.0,0.6,1.3,0.8,.500,PG
2001,Tyronn Lue,LA Lakers,38,12.3,23,1,12.3,1.3,3.1,.427,0.3,0.9,1.0,2.2,.470,.474,0.5,0.6,.792,0.1,0.7,0.8,1.2,0.5,0.0,0.7,1.4,3.4,.324,PG
2001,Larry Johnson,New York,65,32.4,31,65,32.4,3.8,9.2,.411,0.8,2.5,3.0,6.7,.448,.454,1.6,2.0,.797,1.4,4.2,5.6,2.0,0.6,0.4,1.5,3.2,9.9,.313,PF
2001,Scott Padgett,Utah,27,4.7,24,0,4.7,0.7,1.6,.419,0.2,0.3,0.5,1.3,.382,.477,0.6,0.7,.750,0.7,0.7,1.4,0.2,0.2,0.1,0.4,0.8,2.1,.556,PF
