Season,Team,Points Per Game,Opponent Points Per Game,Point Differential,Own FG%,Opponent FG%,Own 3p%,Opponent 3p%,FT%,Offensive Rebounds,Defensive Rebounds,Rebounding %,Own Turnovers,Opponent Turnovers,Offensive adjusted field goal %,Offensive ppg,Offensive FGM,Offensive FGA,Offensive 3pm,Offensive 3pa,Offensive FTA,Offensive FTM,Offensive PPS,Opponent adjusted field goal %,Opponent ppg,Opponent FGM,Opponent FGA,Opponent 3pm,Opponent 3pa,Opponent FTA,Opponent FTM,Opponent PPS,Opponent APG,Team APG,Team SPG,Opponent SPG,Team BPG,Opponent BPG,Team TPG,Opponent TPG,Team ATO,Team Techs
2008,Orlando,104.5,99.0,+5.5,.474,.446,.386,.358,.721,.234,.748,.502,14.3,13.2,.537,104.5,37.3,78.6,9.8,25.3,27.9,20.1,1.33,.484,99.0,37.3,83.6,6.3,17.6,24.1,18.2,1.18,21.5,20.8,6.3,7.1,4.1,4.2,14.3,13.2,1.45,68
2008,Detroit,97.5,90.1,+7.4,.458,.437,.366,.332,.767,.294,.737,.514,11.7,13.5,.495,97.5,36.6,79.9,5.9,16.2,24.0,18.4,1.22,.470,90.1,33.3,76.1,5.0,15.0,25.0,18.6,1.18,19.1,22.3,7.1,5.8,5.8,3.9,11.7,13.5,1.92,59
2008,Minnesota,95.6,102.4,-6.8,.451,.472,.350,.357,.736,.275,.736,.498,14.5,13.5,.484,95.6,37.5,83.1,5.4,15.4,20.6,15.2,1.15,.513,102.4,37.3,79.0,6.6,18.5,27.6,21.2,1.30,23.2,19.9,7.5,7.4,3.7,5.7,14.5,13.5,1.37,58
2008,Oklahoma City,97.5,106.3,-8.8,.444,.461,.333,.385,.770,.268,.737,.503,16.0,13.2,.467,97.5,38.1,85.8,3.8,11.5,22.8,17.5,1.14,.503,106.3,40.1,87.0,7.4,19.2,25.0,18.7,1.22,24.4,21.3,6.5,8.6,4.9,5.4,16.0,13.2,1.33,39
2008,Houston,96.7,92.0,+4.7,.448,.433,.342,.365,.726,.291,.748,.523,13.7,13.3,.492,96.7,36.6,81.7,7.1,20.8,22.5,16.4,1.18,.465,92.0,34.8,80.4,5.3,14.5,23.3,17.2,1.14,18.9,21.4,7.3,7.6,5.1,4.6,13.7,13.3,1.56,58
2008,Boston,100.5,90.3,+10.2,.475,.419,.381,.316,.771,.266,.744,.519,15.2,16.0,.522,100.5,36.4,76.7,7.3,19.1,26.5,20.5,1.31,.457,90.3,32.4,77.3,5.9,18.7,26.3,19.6,1.17,18.8,22.4,8.5,7.2,4.6,4.7,15.2,16.0,1.47,97
2008,Washington,98.8,99.2,-0.4,.446,.461,.356,.386,.782,.289,.728,.502,13.2,14.0,.489,98.8,36.4,81.6,7.0,19.7,24.3,19.0,1.21,.513,99.2,36.8,79.7,8.3,21.6,22.9,17.3,1.24,23.9,19.6,7.7,6.5,4.8,4.4,13.2,14.0,1.49,62
2008,New Orleans,100.9,95.6,+5.3,.466,.460,.389,.351,.769,.270,.754,.506,11.9,13.9,.512,100.9,38.6,82.9,7.7,19.8,20.8,16.0,1.22,.501,95.6,37.0,80.5,6.6,18.9,19.3,14.8,1.19,21.7,21.8,7.8,5.7,3.9,4.0,11.9,13.9,1.83,58
2008,Cleveland,96.4,96.7,-0.3,.439,.455,.358,.357,.717,.304,.759,.524,14.0,13.3,.480,96.4,35.8,81.7,6.7,18.8,25.1,18.0,1.18,.494,96.7,35.8,78.8,6.2,17.3,25.2,18.9,1.23,21.0,20.0,7.1,6.8,5.2,4.7,14.0,13.3,1.43,46
2008,Milwaukee,97.0,103.9,-6.9,.449,.480,.344,.384,.733,.300,.730,.506,14.8,13.7,.482,97.0,36.9,82.3,5.5,16.0,24.1,17.7,1.18,.524,103.9,38.4,80.0,7.2,18.7,26.1,20.0,1.30,23.3,21.5,6.6,7.9,4.4,4.9,14.8,13.7,1.45,59
