Player,Season,Age,Team,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,ft%,Steals,Turnovers,Games,Games Started,FGM,3pa,3pm,ftm,orb,drb,FG%,EFG%,TS%
Kaharri Carter,[],,,0.3,0.3,0.0,2.7,0.7,0.0,0.0,0.0,0.3,0.0,0.5,0.3,0.0,,,0.0,0.3,0.0,0.3,,,0.0,,
Myles Carter,[],,,0.6,0.9,0.1,4.6,0.4,0.1,0.7,0.0,0.6,0.3,0.2,0.1,0.4,,,0.3,0.0,0.0,0.1,,,0.444,,
Simeon Carter,[],,,0.9,0.5,0.0,2.8,0.3,0.1,0.3,0.0,0.7,0.4,0.333,0.0,0.1,,,0.4,0.0,0.0,0.1,,,0.583,,
Terrell Carter,[],,,4.4,2.5,0.2,11.9,1.4,0.3,2.4,0.0,3.2,1.8,0.52,0.2,1.0,,,1.8,0.0,0.0,0.8,,,0.569,,
Traci Carter,[],,,5.2,2.4,4.4,22.4,1.8,0.1,2.8,0.325,4.4,1.0,0.726,1.2,2.1,,,1.6,1.9,0.6,1.3,,,0.372,,
Tyler Carter,[],,,1.2,0.8,0.3,5.0,0.3,0.0,1.3,0.167,1.5,0.3,0.8,0.1,0.4,,,0.4,0.7,0.1,0.2,,,0.296,,
Tyson Carter,[],,,7.5,2.0,0.9,21.4,1.4,0.1,0.9,0.382,6.2,1.2,0.893,0.8,0.5,,,2.5,3.4,1.3,1.3,,,0.398,,
Andrew Cartwright,[],,,0.8,0.3,0.1,2.2,0.2,0.0,0.4,0.286,0.8,0.0,1.0,0.0,0.1,,,0.2,0.7,0.2,0.2,,,0.25,,
Kyron Cartwright,[],,,6.2,2.2,4.2,24.1,1.7,0.1,1.7,0.317,5.8,1.8,0.708,0.8,1.7,,,2.3,1.5,0.5,1.2,,,0.392,,
Robert Cartwright,[],,,3.9,1.2,1.6,16.3,0.8,0.0,1.3,0.295,3.8,0.8,0.761,0.5,0.9,,,1.4,1.8,0.5,0.6,,,0.364,,
Henry Caruso,[],,,9.3,4.1,1.0,19.2,3.0,0.1,1.4,0.421,6.1,2.4,0.758,0.7,1.3,,,3.2,1.7,0.7,2.3,,,0.517,,
Dontay Caruthers,[],,,3.8,2.0,2.2,20.4,1.3,0.0,3.0,0.219,3.2,1.0,0.679,1.8,1.5,,,1.3,1.5,0.3,0.9,,,0.397,,
Nico Carvacho,[],,,5.4,4.7,0.9,19.5,2.6,0.5,2.6,0.5,3.6,1.9,0.586,0.3,1.5,,,1.9,0.1,0.0,1.5,,,0.525,,
Aaron Carver,[],,,0.9,1.6,0.6,8.3,0.7,0.5,1.0,0.286,1.2,0.1,0.714,0.2,0.4,,,0.2,0.4,0.1,0.5,,,0.13,,
Trey Carver,[],,,1.2,1.5,0.1,9.7,0.5,0.0,0.5,0.0,2.0,0.5,0.429,0.0,0.2,,,0.5,0.2,0.0,0.2,,,0.231,,
Connor Cashaw,[],,,8.2,4.8,1.3,28.5,1.8,0.1,1.8,0.37,6.9,1.7,0.579,0.9,1.3,,,3.0,3.4,1.3,1.0,,,0.43,,
Schadrac Casimir,[],,,11.0,2.2,1.7,28.0,2.3,0.1,1.7,0.422,8.1,1.4,0.903,0.9,1.0,,,3.4,4.8,2.0,2.1,,,0.42,,
Brendan Casper,[],,,2.1,1.6,0.4,7.3,0.7,0.0,1.1,0.192,1.9,0.7,0.581,0.4,0.5,,,0.8,0.4,0.1,0.4,,,0.431,,
