Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
53,1963-64,WAC,15,11,0.577,7.68,5.32,,,,,,,Bruce Larson (15-11)
54,1962-63,WAC,13,13,0.5,0.65,2.88,,,,,,,Bruce Larson (13-13)
55,1961-62,Ind,12,14,0.462,-4.97,-1.54,,,,,,,Bruce Larson (12-14)
56,1960-61,BIAA,11,15,0.423,-13.26,-3.2,,,,,,,Fred Enke (11-15)
57,1959-60,BIAA,10,14,0.417,-13.47,-7.9,,,,,,,Fred Enke (10-14)
58,1958-59,BIAA,4,22,0.154,-21.64,-4.85,,,,,,,Fred Enke (4-22)
59,1957-58,BIAA,10,15,0.4,-12.67,-5.87,,,,,,,Fred Enke (10-15)
60,1956-57,BIAA,13,13,0.5,-6.21,-3.39,,,,,,,Fred Enke (13-13)
Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
61,1955-56,BIAA,11,15,0.423,-14.5,-2.5,,,,,,,Fred Enke (11-15)
62,1954-55,BIAA,8,17,0.32,-11.02,-3.38,,,,,,,Fred Enke (8-17)
63,1953-54,BIAA,14,10,0.583,-9.68,-4.01,,,,,,,Fred Enke (14-10)
64,1952-53 R,BIAA,13,11,0.542,-8.85,-10.13,,,,,,,Fred Enke (13-11)
65,1951-52,BIAA,11,16,0.407,-9.94,-4.14,,,,,,,Fred Enke (11-16)
66,1950-51* R,BIAA,24,6,0.8,4.97,-5.49,,,,11,12,Lost First Round,Fred Enke (24-6)
67,1949-50-nm,BIAA,26,5,0.839,,,,,,15,15,,Fred Enke (26-5)
68,1948-49-nm,BIAA,17,11,0.607,,,54.5,51.5,,,,,Fred Enke (17-11)
69,1947-48 R,BIAA,19,10,0.655,,,,,,,,,Fred Enke (19-10)
70,1946-47 R,BIAA,21,3,0.875,,,,,,,,,Fred Enke (21-3)
71,1945-46 R,BIAA,25,5,0.833,,,,,,,,,Fred Enke (25-5)
72,1944-45,BIAA,7,11,0.389,,,,,,,,,Fred Enke (7-11)
73,1943-44,BIAA,12,2,0.857,,,,,,,,,Fred Enke (12-2)
74,1942-43,BIAA,22,2,0.917,,,,,,,,,Fred Enke (22-2)
75,1941-42,BIAA,9,13,0.409,,,,,,,,,Fred Enke (9-13)
76,1940-41,Ind,11,7,0.611,,,,,,,,,Fred Enke (11-7)
77,1939-40,BIAA,15,10,0.6,,,,,,,,,Fred Enke (15-10)
78,1938-39,BIAA,12,11,0.522,,,,,,,,,Fred Enke (12-11)
79,1937-38,BIAA,13,8,0.619,,,,,,,,,Fred Enke (13-8)
80,1936-37,BIAA,14,11,0.56,,,,,,,,,Fred Enke (14-11)
Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
81,1935-36,BIAA,16,7,0.696,,,,,,,,,Fred Enke (16-7)
82,1934-35,BIAA,11,8,0.579,,,,,,,,,Fred Enke (11-8)
83,1933-34,BIAA,18,9,0.667,,,,,,,,,Fred Enke (18-9)
84,1932-33,BIAA,19,5,0.792,,,,,,,,,Fred Enke (19-5)
85,1931-32,BIAA,18,2,0.9,,,,,,,,,Fred Enke (18-2)
86,1930-31,Ind,9,6,0.6,,,,,,,,,Fred Enke (9-6)
87,1929-30,Ind,15,6,0.714,,,,,,,,,Fred Enke (15-6)
88,1928-29,Ind,19,4,0.826,,,,,,,,,Fred Enke (19-4)
89,1927-28,Ind,13,3,0.813,,,,,,,,,Fred Enke (13-3)
90,1926-27,Ind,13,4,0.765,,,,,,,,,Fred Enke (13-4)
91,1925-26,Ind,6,7,0.462,,,,,,,,,Fred Enke (6-7)
92,1924-25,Ind,7,4,0.636,,,,,,,,,Walter Davis (7-4)
93,1923-24,Ind,14,3,0.824,,,,,,,,,Basil Stanley (14-3)
94,1922-23,Ind,17,3,0.85,,,,,,,,,Basil Stanley (17-3)
95,1921-22,Ind,10,2,0.833,,,,,,,,,James Pierce (10-2)
96,1920-21,Ind,7,0,1,,,,,,,,,Pop McKale (7-0)
97,1919-20,Ind,9,5,0.643,,,,,,,,,Pop McKale (9-5)
98,1918-19,Ind,6,3,0.667,,,,,,,,,Pop McKale (6-3)
99,1917-18,Ind,3,2,0.6,,,,,,,,,Pop McKale (3-2)
100,1916-17,Ind,10,2,0.833,,,,,,,,,Pop McKale (10-2)
Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
101,1915-16,Ind,5,0,1,,,,,,,,,Pop McKale (5-0)
102,1914-15,Ind,9,0,1,,,,,,,,,Pop McKale (9-0)
103,1913-14,Ind,7,2,0.778,,,,,,,,,Raymond Quigley (7-2)
104,1912-13,Ind,3,2,0.6,,,,,,,,,Raymond Quigley (3-2)
105,1911-12,Ind,2,2,0.5,,,,,,,,,Frank Kleeberger (2-2)
106,1910-11,Ind,3,0,1,,,,,,,,,George Spaulding (3-0)
107,1909-10,Ind,2,2,0.5,,,,,,,,,Unknown
108,1908-09,Ind,1,1,0.5,,,,,,,,,Unknown
109,1907-08,Ind,1,2,0.333,,,,,,,,,Unknown Thompson (1-2)
110,1906-07,Ind,3,1,0.75,,,,,,,,,Unknown
111,1904-05,Ind,1,0,1,,,,,,,,,Orin Kates (1-0)
