
Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
51,1965-66* RTF,ACC,26,4,.867,18.06,6.83,,,3,1,2,Lost National Semifinal,Vic Bubas (26-4)
52,1964-65 R,ACC,20,5,.800,17.31,2.71,,,5,5,10,,Vic Bubas (20-5)
53,1963-64* RTF,ACC,26,5,.839,19.03,4.06,,,4,3,3,Lost National Final,Vic Bubas (26-5)
54,1962-63* RTF,ACC,27,3,.900,16.39,2.15,,,2,2,2,Lost National Semifinal,Vic Bubas (27-3)
55,1961-62,ACC,20,5,.800,16.27,2.15,,,7,5,10,,Vic Bubas (20-5)
56,1960-61,ACC,22,6,.786,9.43,-0.89,,,,3,10,,Vic Bubas (22-6)
57,1959-60* T,ACC,17,11,.607,3.97,2.93,,,,16,18,Lost Regional Final,Vic Bubas (17-11)
58,1958-59,ACC,13,12,.520,-0.99,2.85,,,,,,,Harold Bradley (13-12)
59,1957-58 R,ACC,18,7,.720,6.29,1.29,,,,6,10,,Harold Bradley (18-7)
60,1956-57,ACC,13,11,.542,5.05,3.26,,,,9,,,Harold Bradley (13-11)
Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
61,1955-56,ACC,19,7,.731,14.98,3.36,,,,6,17,,Harold Bradley (19-7)
62,1954-55*,ACC,20,8,.714,12.95,0.13,,,,17,,Lost First Round,Harold Bradley (20-8)
63,1953-54 R,ACC,21,6,.778,14.35,-1.72,,,,8,15,,Harold Bradley (21-6)
64,1952-53,Southern,17,8,.680,4.01,-1.19,,,,18,,,Harold Bradley (17-8)
65,1951-52,Southern,24,6,.800,6.85,-4.22,,,,12,12,,Harold Bradley (24-6)
66,1950-51,Southern,20,13,.606,-5.11,-6.34,,,,,,,Harold Bradley (20-13)
67,1949-50,Southern,15,15,.500,-6.59,-7.18,,,,,,,Gerry Gerard (15-15)
68,1948-49,Southern,13,9,.591,,,,,,,,,Gerry Gerard (13-9)
69,1947-48,Southern,17,12,.586,,,,,,,,,Gerry Gerard (17-12)
70,1946-47,Southern,19,8,.704,,,,,,,,,Gerry Gerard (19-8)
71,1945-46 T,Southern,21,6,.778,,,,,,,,,Gerry Gerard (21-6)
72,1944-45,Southern,13,9,.591,,,,,,,,,Gerry Gerard (13-9)
73,1943-44 T,Southern,13,13,.500,,,,,,,,,Gerry Gerard (13-13)
74,1942-43 R,Southern,20,6,.769,,,,,,,,,Gerry Gerard (20-6)
75,1941-42 RT,Southern,22,2,.917,,,,,,,,,Eddie Cameron (22-2)
76,1940-41 T,Southern,14,8,.636,,,,,,,,,Eddie Cameron (14-8)
77,1939-40 R,Southern,19,7,.731,,,,,,,,,Eddie Cameron (19-7)
78,1938-39,Southern,10,12,.455,,,,,,,,,Eddie Cameron (10-12)
79,1937-38,Southern,15,9,.625,,,,,,,,,Eddie Cameron (15-9)
80,1936-37,Southern,15,8,.652,,,,,,,,,Eddie Cameron (15-8)
Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
81,1935-36,Southern,20,6,.769,,,,,,,,,Eddie Cameron (20-6)
82,1934-35,Southern,18,8,.692,,,,,,,,,Eddie Cameron (18-8)
83,1933-34,Southern,18,6,.750,,,,,,,,,Eddie Cameron (18-6)
84,1932-33,Southern,17,5,.773,,,,,,,,,Eddie Cameron (17-5)
85,1931-32,Southern,14,11,.560,,,,,,,,,Eddie Cameron (14-11)
86,1930-31,Southern,14,7,.667,,,,,,,,,Eddie Cameron (14-7)
87,1929-30,Southern,18,2,.900,,,,,,,,,Eddie Cameron (18-2)
88,1928-29,Southern,12,8,.600,,,,,,,,,Eddie Cameron (12-8)
89,1927-28,Ind,9,5,.643,,,,,,,,,George Buckheit (9-5)
90,1926-27,Ind,4,10,.286,,,,,,,,,George Buckheit (4-10)
91,1925-26,Ind,8,12,.400,,,,,,,,,George Buckheit (8-12)
