Player,Season,Age,Team,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,ft%,Steals,Turnovers,Games,Games Started,FGM,3pa,3pm,ftm,orb,drb,FG%,EFG%,TS%
Miles Plumlee,2017-18,29,ATL,4.8,3.5,0.9,17.7,1.3,0.5,1.5,,3.4,0.608,0.5,0.5,1.2,15,12,2.1,0,0,0.7,1.2,2.3,0.608,0.608,0.602
Milos Teodosic,2017-18,30,LAC,8.3,3.4,5.1,23.7,0.9,0.2,2.2,0.306,8.8,0.4,0.75,0.4,1.8,9,9,3,5.4,1.7,0.7,0.7,2.8,0.342,0.437,0.454
Milton Doyle,2017-18,24,BRK,3.5,1,1,8.5,1,0,0.5,0.333,4,0.2,1,0.5,0,2,0,1,1.5,0.5,1,0,1,0.25,0.313,0.394
Mindaugas Kuzminskas,2017-18,28,NYK,0,0,0,2,0,0,0,,2,0,,0,0,1,0,0,0,0,0,0,0,0,0,0
Mirza Teletovic,2017-18,32,MIL,7.1,2.3,1,15.9,0,0.1,1.4,0.467,5.7,0.333,,0.4,0.7,10,0,2.5,4.5,2.1,0,0.3,2,0.439,0.623,0.623
Monte Morris,2017-18,22,DEN,0,0,1,3,0,0,0,0,1,,,0,0,1,0,0,1,0,0,0,0,0,0,0
Montrezl Harrell,2017-18,24,LAC,7.2,3.3,0.8,12.4,2,0.5,1.1,,4.7,0.609,0.704,0.3,0.5,27,3,2.9,0,0,1.4,1.3,2,0.609,0.609,0.639
Myles Turner,2017-18,21,IND,14.6,6.9,1.6,30.4,3.4,2.4,2.7,0.355,11.1,0.543,0.768,0.5,1.5,28,27,5.5,2.7,1,2.6,1.1,5.8,0.497,0.54,0.58
Nate Wolters,2017-18,26,UTA,0.4,0.4,0.2,3.8,0,0,0.2,,1.2,0.167,,0,0,5,0,0.2,0,0,0,0.2,0.2,0.167,0.167,0.167
Naz Mitrou-Long,2017-18,24,UTA,3,0,0,1,0,0,0,1,1,,,0,0,1,0,1,1,1,0,0,0,1,1.5,1.5
Nemanja Bjelica,2017-18,29,MIN,6.5,2.8,0.7,14.6,0.8,0.2,1.7,0.488,4.3,0.643,0.813,0.5,0.7,20,0,2.4,2.2,1.1,0.7,0.5,2.4,0.565,0.688,0.706
Nene Hilario,2017-18,35,HOU,7.2,3.3,1,15.1,2.4,0.4,2.6,0,4.6,0.611,0.707,0.5,1,24,1,2.8,0.1,0,1.7,0.9,2.4,0.6,0.6,0.638
Nerlens Noel,2017-18,23,DAL,4,4.1,0.3,12.5,1.1,0.6,1.7,,2.9,0.528,0.842,0.6,0.8,18,6,1.6,0,0,0.9,1.4,2.6,0.528,0.528,0.587
Nick Collison,2017-18,37,OKC,1.9,1.4,0.4,5.6,0.6,0,0.7,,0.9,0.833,0.75,0,0.3,7,0,0.7,0,0,0.4,0.4,1,0.833,0.833,0.838
Nick Young,2017-18,32,GSW,6.9,1.4,0.5,14.1,0.8,0.1,1.1,0.412,5.4,0.552,0.68,0.4,0.5,33,0,2.5,3.6,1.5,0.5,0.2,1.2,0.458,0.596,0.606
Nicolas Batum,2017-18,29,CHO,10,4.2,4.8,31.1,1.6,0.4,1.3,0.284,9.5,0.478,0.844,1.1,2,20,20,3.8,3.7,1.1,1.4,0.6,3.6,0.402,0.458,0.492
Nicolas Brussino,2017-18,24,ATL,0,0.8,0,2.5,0,0,0,0,0.5,,,0,0,4,0,0,0.5,0,0,0,0.8,0,0,0
Nik Stauskas,2017-18,24,,5.8,1.2,0.8,11.9,1,0,0.5,0.559,3.8,0.267,0.769,0.4,0.7,13,0,1.8,2.6,1.5,0.8,0.2,1,0.469,0.663,0.685
Nikola Jokic,2017-18,22,DEN,16.2,10.1,4.5,30.1,3.2,0.7,2.5,0.372,11.9,0.565,0.876,1.3,2.4,28,26,6.1,3.4,1.3,2.8,2.5,7.6,0.511,0.563,0.609
Nikola Mirotic,2017-18,26,CHI,17.2,7.6,1,25.5,3.6,0.4,2.2,0.475,12.1,0.527,0.675,0.4,0.7,11,3,6.1,5.4,2.5,2.5,0.9,6.7,0.504,0.609,0.627
Nikola Vucevic,2017-18,27,ORL,17.4,9.3,3.3,29.9,1.6,1.1,2.4,0.343,14.9,0.548,0.821,1,1.9,34,34,7.3,4.1,1.4,1.4,1.8,7.5,0.491,0.539,0.557
Noah Vonleh,2017-18,22,POR,4.2,6.3,0.5,18.4,1,0.5,1.7,,3.3,0.526,0.739,0.3,0.6,23,12,1.7,0,0,0.7,1.5,4.9,0.526,0.526,0.563
Norman Powell,2017-18,24,TOR,7.8,1.9,1.7,19.2,1.2,0.3,2.2,0.301,7,0.514,0.853,0.9,1.4,29,12,2.9,3.2,1,1,0.2,1.7,0.416,0.485,0.519
OG Anunoby,2017-18,20,TOR,6.7,2.1,0.8,20.9,0.8,0.1,1.9,0.426,5.1,0.561,0.63,0.9,0.7,33,21,2.4,3.1,1.3,0.5,0.6,1.5,0.479,0.608,0.615
Okaro White,2017-18,25,MIA,3.3,1.8,0.3,13.3,0.5,0.2,1,0.364,2.7,0.6,0.667,0.2,0.2,6,4,1.2,1.8,0.7,0.3,0.5,1.3,0.438,0.563,0.577
