X,Y,Prob,Low,High,,,Descriptives...,,,,,,,,
27.5,1,0.9307,0.9147,0.9439,,,,,,,,,,,
27.4,0,0.928,0.9116,0.9415,,,,,,,,,,,
27.4,1,0.928,0.9116,0.9415,,,,,,,,,,,
27.4,1,0.928,0.9116,0.9415,,,,,,,,,,,
27.4,1,0.928,0.9116,0.9415,,,,,,,,,,,
27.4,1,0.928,0.9116,0.9415,,,,,,,,,,,
27.3,1,0.9251,0.9083,0.9391,,,,,,,,,,,
27.3,1,0.9251,0.9083,0.9391,,,,,,,,,,,
27.3,1,0.9251,0.9083,0.9391,,,,,,,,,,,
27.2,1,0.9222,0.905,0.9365,,,,,,,,,,,
27.2,1,0.9222,0.905,0.9365,,,,,,,,,,,
27.2,1,0.9222,0.905,0.9365,,,,,,,,,,,
27.2,1,0.9222,0.905,0.9365,,,,,,,,,,,
27.2,1,0.9222,0.905,0.9365,,,,,,,,,,,
27.1,1,0.9192,0.9015,0.9339,,,,,,,,,,,
27.1,1,0.9192,0.9015,0.9339,,,,,,,,,,,
27.1,1,0.9192,0.9015,0.9339,,,,,,,,,,,
27.1,1,0.9192,0.9015,0.9339,,,,,,,,,,,
27,1,0.916,0.8979,0.9311,,,,,,,,,,,
27,1,0.916,0.8979,0.9311,,,,,,,,,,,
27,1,0.916,0.8979,0.9311,,,,,,,,,,,
27,1,0.916,0.8979,0.9311,,,,,,,,,,,
26.9,0,0.9127,0.8942,0.9283,,,,,,,,,,,
26.9,0,0.9127,0.8942,0.9283,,,,,,,,,,,
26.9,1,0.9127,0.8942,0.9283,,,,,,,,,,,
26.9,1,0.9127,0.8942,0.9283,,,,,,,,,,,
26.8,0,0.9094,0.8904,0.9253,,,,,,,,,,,
26.8,1,0.9094,0.8904,0.9253,,,,,,,,,,,
26.8,1,0.9094,0.8904,0.9253,,,,,,,,,,,
26.8,1,0.9094,0.8904,0.9253,,,,,,,,,,,
26.8,1,0.9094,0.8904,0.9253,,,,,,,,,,,
26.8,1,0.9094,0.8904,0.9253,,,,,,,,,,,
26.7,0,0.9059,0.8865,0.9222,,,,,,,,,,,
26.7,1,0.9059,0.8865,0.9222,,,,,,,,,,,
26.7,1,0.9059,0.8865,0.9222,,,,,,,,,,,
26.7,1,0.9059,0.8865,0.9222,,,,,,,,,,,
26.7,1,0.9059,0.8865,0.9222,,,,,,,,,,,
26.6,1,0.9022,0.8824,0.919,,,,,,,,,,,
26.6,1,0.9022,0.8824,0.919,,,,,,,,,,,
26.6,1,0.9022,0.8824,0.919,,,,,,,,,,,
26.6,1,0.9022,0.8824,0.919,,,,,,,,,,,
26.6,1,0.9022,0.8824,0.919,,,,,,,,,,,
26.5,0,0.8985,0.8782,0.9157,,,,,,,,,,,
26.5,0,0.8985,0.8782,0.9157,,,,,,,,,,,
26.5,0,0.8985,0.8782,0.9157,,,,,,,,,,,
26.5,1,0.8985,0.8782,0.9157,,,,,,,,,,,
26.5,1,0.8985,0.8782,0.9157,,,,,,,,,,,
26.4,1,0.8946,0.8739,0.9123,,,,,,,,,,,
26.4,1,0.8946,0.8739,0.9123,,,,,,,,,,,
26.4,1,0.8946,0.8739,0.9123,,,,,,,,,,,
26.4,1,0.8946,0.8739,0.9123,,,,,,,,,,,
26.3,0,0.8906,0.8695,0.9087,,,,,,,,,,,
26.3,1,0.8906,0.8695,0.9087,,,,,,,,,,,
26.3,1,0.8906,0.8695,0.9087,,,,,,,,,,,
26.2,1,0.8865,0.8649,0.905,,,,,,,,,,,
26.2,1,0.8865,0.8649,0.905,,,,,,,,,,,
26.2,1,0.8865,0.8649,0.905,,,,,,,,,,,
26.2,1,0.8865,0.8649,0.905,,,,,,,,,,,
26.2,1,0.8865,0.8649,0.905,,,,,,,,,,,
26.2,0,0.8865,0.8649,0.905,,,,,,,,,,,
26.1,1,0.8822,0.8602,0.9012,,,,,,,,,,,
26.1,1,0.8822,0.8602,0.9012,,,,,,,,,,,
26.1,1,0.8822,0.8602,0.9012,,,,,,,,,,,
26.1,1,0.8822,0.8602,0.9012,,,,,,,,,,,
26.1,1,0.8822,0.8602,0.9012,,,,,,,,,,,
26,1,0.8778,0.8553,0.8972,,,,,,,,,,,
26,1,0.8778,0.8553,0.8972,,,,,,,,,,,
26,1,0.8778,0.8553,0.8972,,,,,,,,,,,
25.9,1,0.8733,0.8503,0.8932,,,,,,,,,,,
25.9,1,0.8733,0.8503,0.8932,,,,,,,,,,,
25.9,1,0.8733,0.8503,0.8932,,,,,,,,,,,
25.9,1,0.8733,0.8503,0.8932,,,,,,,,,,,
25.9,1,0.8733,0.8503,0.8932,,,,,,,,,,,
25.9,1,0.8733,0.8503,0.8932,,,,,,,,,,,
25.9,1,0.8733,0.8503,0.8932,,,,,,,,,,,
25.8,0,0.8686,0.8452,0.8889,,,,,,,,,,,
25.8,1,0.8686,0.8452,0.8889,,,,,,,,,,,
25.8,1,0.8686,0.8452,0.8889,,,,,,,,,,,
25.8,1,0.8686,0.8452,0.8889,,,,,,,,,,,
25.8,1,0.8686,0.8452,0.8889,,,,,,,,,,,
25.7,0,0.8637,0.8399,0.8845,,,,,,,,,,,
25.7,0,0.8637,0.8399,0.8845,,,,,,,,,,,
25.7,1,0.8637,0.8399,0.8845,,,,,,,,,,,
25.7,1,0.8637,0.8399,0.8845,,,,,,,,,,,
25.7,1,0.8637,0.8399,0.8845,,,,,,,,,,,
25.7,1,0.8637,0.8399,0.8845,,,,,,,,,,,
25.7,1,0.8637,0.8399,0.8845,,,,,,,,,,,
25.7,1,0.8637,0.8399,0.8845,,,,,,,,,,,
25.7,1,0.8637,0.8399,0.8845,,,,,,,,,,,
25.6,1,0.8588,0.8345,0.88,,,,,,,,,,,
25.6,1,0.8588,0.8345,0.88,,,,,,,,,,,
25.6,1,0.8588,0.8345,0.88,,,,,,,,,,,
25.6,1,0.8588,0.8345,0.88,,,,,,,,,,,
25.6,1,0.8588,0.8345,0.88,,,,,,,,,,,
25.6,1,0.8588,0.8345,0.88,,,,,,,,,,,
25.5,0,0.8536,0.8289,0.8753,,,,,,,,,,,
25.5,0,0.8536,0.8289,0.8753,,,,,,,,,,,
25.5,1,0.8536,0.8289,0.8753,,,,,,,,,,,
25.5,1,0.8536,0.8289,0.8753,,,,,,,,,,,
25.5,1,0.8536,0.8289,0.8753,,,,,,,,,,,
25.5,1,0.8536,0.8289,0.8753,,,,,,,,,,,
25.5,1,0.8536,0.8289,0.8753,,,,,,,,,,,
25.5,0,0.8536,0.8289,0.8753,,,,,,,,,,,
25.4,0,0.8483,0.8232,0.8705,,,,,,,,,,,
25.4,1,0.8483,0.8232,0.8705,,,,,,,,,,,
25.4,1,0.8483,0.8232,0.8705,,,,,,,,,,,
25.4,1,0.8483,0.8232,0.8705,,,,,,,,,,,
25.3,0,0.8429,0.8173,0.8655,,,,,,,,,,,
25.3,1,0.8429,0.8173,0.8655,,,,,,,,,,,
25.3,1,0.8429,0.8173,0.8655,,,,,,,,,,,
25.3,1,0.8429,0.8173,0.8655,,,,,,,,,,,
25.3,0,0.8429,0.8173,0.8655,,,,,,,,,,,
25.2,1,0.8373,0.8113,0.8603,,,,,,,,,,,
25.2,1,0.8373,0.8113,0.8603,,,,,,,,,,,
25.2,1,0.8373,0.8113,0.8603,,,,,,,,,,,
25.2,1,0.8373,0.8113,0.8603,,,,,,,,,,,
25.2,1,0.8373,0.8113,0.8603,,,,,,,,,,,
25.1,0,0.8315,0.8051,0.855,,,,,,,,,,,
25.1,1,0.8315,0.8051,0.855,,,,,,,,,,,
25.1,1,0.8315,0.8051,0.855,,,,,,,,,,,
25.1,1,0.8315,0.8051,0.855,,,,,,,,,,,
25.1,1,0.8315,0.8051,0.855,,,,,,,,,,,
25.1,0,0.8315,0.8051,0.855,,,,,,,,,,,
25,0,0.8256,0.7988,0.8495,,,,,,,,,,,
25,1,0.8256,0.7988,0.8495,,,,,,,,,,,
25,1,0.8256,0.7988,0.8495,,,,,,,,,,,
25,1,0.8256,0.7988,0.8495,,,,,,,,,,,
25,1,0.8256,0.7988,0.8495,,,,,,,,,,,
25,1,0.8256,0.7988,0.8495,,,,,,,,,,,
25,1,0.8256,0.7988,0.8495,,,,,,,,,,,
25,1,0.8256,0.7988,0.8495,,,,,,,,,,,
24.9,0,0.8195,0.7923,0.8438,,,,,,,,,,,
24.9,0,0.8195,0.7923,0.8438,,,,,,,,,,,
24.9,1,0.8195,0.7923,0.8438,,,,,,,,,,,
24.8,0,0.8133,0.7857,0.838,,,,,,,,,,,
24.8,1,0.8133,0.7857,0.838,,,,,,,,,,,
24.7,1,0.8068,0.7789,0.832,,,,,,,,,,,
24.7,1,0.8068,0.7789,0.832,,,,,,,,,,,
24.6,0,0.8002,0.772,0.8258,,,,,,,,,,,
24.6,1,0.8002,0.772,0.8258,,,,,,,,,,,
24.6,1,0.8002,0.772,0.8258,,,,,,,,,,,
24.6,1,0.8002,0.772,0.8258,,,,,,,,,,,
24.6,1,0.8002,0.772,0.8258,,,,,,,,,,,
24.6,1,0.8002,0.772,0.8258,,,,,,,,,,,
24.6,1,0.8002,0.772,0.8258,,,,,,,,,,,
24.6,1,0.8002,0.772,0.8258,,,,,,,,,,,
24.6,1,0.8002,0.772,0.8258,,,,,,,,,,,
24.6,0,0.8002,0.772,0.8258,,,,,,,,,,,
24.5,1,0.7935,0.7649,0.8195,,,,,,,,,,,
24.5,1,0.7935,0.7649,0.8195,,,,,,,,,,,
24.5,1,0.7935,0.7649,0.8195,,,,,,,,,,,
24.5,1,0.7935,0.7649,0.8195,,,,,,,,,,,
24.5,1,0.7935,0.7649,0.8195,,,,,,,,,,,
24.5,1,0.7935,0.7649,0.8195,,,,,,,,,,,
24.4,0,0.7866,0.7576,0.8129,,,,,,,,,,,
24.4,1,0.7866,0.7576,0.8129,,,,,,,,,,,
24.4,1,0.7866,0.7576,0.8129,,,,,,,,,,,
24.4,1,0.7866,0.7576,0.8129,,,,,,,,,,,
24.4,1,0.7866,0.7576,0.8129,,,,,,,,,,,
24.3,0,0.7795,0.7502,0.8062,,,,,,,,,,,
24.3,1,0.7795,0.7502,0.8062,,,,,,,,,,,
24.3,1,0.7795,0.7502,0.8062,,,,,,,,,,,
24.3,1,0.7795,0.7502,0.8062,,,,,,,,,,,
24.3,1,0.7795,0.7502,0.8062,,,,,,,,,,,
24.3,1,0.7795,0.7502,0.8062,,,,,,,,,,,
24.2,1,0.7722,0.7427,0.7993,,,,,,,,,,,
24.2,1,0.7722,0.7427,0.7993,,,,,,,,,,,
24.2,1,0.7722,0.7427,0.7993,,,,,,,,,,,
24.2,1,0.7722,0.7427,0.7993,,,,,,,,,,,
24.2,1,0.7722,0.7427,0.7993,,,,,,,,,,,
24.2,1,0.7722,0.7427,0.7993,,,,,,,,,,,
24.2,1,0.7722,0.7427,0.7993,,,,,,,,,,,
24.2,1,0.7722,0.7427,0.7993,,,,,,,,,,,
24.1,0,0.7648,0.7349,0.7923,,,,,,,,,,,
24.1,0,0.7648,0.7349,0.7923,,,,,,,,,,,
24.1,0,0.7648,0.7349,0.7923,,,,,,,,,,,
24.1,1,0.7648,0.7349,0.7923,,,,,,,,,,,
24.1,1,0.7648,0.7349,0.7923,,,,,,,,,,,
24.1,1,0.7648,0.7349,0.7923,,,,,,,,,,,
24.1,1,0.7648,0.7349,0.7923,,,,,,,,,,,
24.1,0,0.7648,0.7349,0.7923,,,,,,,,,,,
24.1,0,0.7648,0.7349,0.7923,,,,,,,,,,,
24,1,0.7572,0.7271,0.785,,,,,,,,,,,
24,1,0.7572,0.7271,0.785,,,,,,,,,,,
24,1,0.7572,0.7271,0.785,,,,,,,,,,,
24,1,0.7572,0.7271,0.785,,,,,,,,,,,
23.9,0,0.7495,0.7191,0.7776,,,,,,,,,,,
23.9,0,0.7495,0.7191,0.7776,,,,,,,,,,,
23.9,1,0.7495,0.7191,0.7776,,,,,,,,,,,
23.9,1,0.7495,0.7191,0.7776,,,,,,,,,,,
23.9,1,0.7495,0.7191,0.7776,,,,,,,,,,,
23.9,1,0.7495,0.7191,0.7776,,,,,,,,,,,
