Player,Season,Age,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,FGM,ft%,Steals,Turnovers,EFG%,TS%,Games,3pa,Games Started
Lance Thomas,2016-17,28,4.8,1.9,0.5,17.6,0.7,0.1,1.7,0.429,4.7,0.352,1.8,0.85,0.5,0.5,0.454,0.484,30,1.6,6
Hollis Thompson,2016-17,25,5.5,2.7,0.8,18.1,0.6,0.2,1.8,0.366,5.1,0.455,2.1,0.65,0.5,0.3,0.497,0.51,31,2.3,1
Klay Thompson,2016-17,26,21.1,3.8,1.9,34.3,2.5,0.5,1.9,0.396,17,0.526,8,0.847,0.8,1.8,0.557,0.582,45,7.8,45
Tristan Thompson,2016-17,25,7.1,9.6,0.8,29,3,1.2,2.4,0,5,0.571,2.8,0.481,0.5,0.8,0.563,0.56,44,0.1,44
Marcus Thornton,2016-17,29,6.6,2.3,1.2,17.4,0.8,0.1,1.5,0.35,6.4,0.431,2.5,0.852,0.6,0.8,0.467,0.494,33,2.4,1
Anthony Tolliver,2016-17,31,6.5,3.4,0.9,21.7,1.2,0.2,1.7,0.37,5,0.554,2.2,0.895,0.5,0.6,0.555,0.598,33,3.3,5
Karl-Anthony Towns,2016-17,21,22.7,11.9,3,36.2,4.8,1.5,3.1,0.329,17.4,0.548,8.8,0.815,0.7,2.8,0.537,0.58,46,3.5,46
P.J. Tucker,2016-17,31,6.6,5.7,1.2,28.1,1.4,0.3,2.3,0.317,5.9,0.467,2.4,0.758,1.4,0.9,0.47,0.508,46,2.3,17
Evan Turner,2016-17,28,9.4,4,3.3,26,1.8,0.4,1.8,0.286,8.6,0.47,3.7,0.844,0.9,1.6,0.462,0.503,44,1.8,4
Myles Turner,2016-17,20,15.9,7.5,0.9,30.2,3.9,2.3,3.2,0.403,11.2,0.559,6,0.809,0.7,1.5,0.566,0.613,44,1.6,44
Beno Udrih,2016-17,34,6.3,1.4,3.3,15.4,1,0,0.7,0.357,5.5,0.483,2.5,0.923,0.3,0.9,0.493,0.533,27,1,0
Tyler Ulis,2016-17,21,3,0.7,1.1,9,0.5,0,0.8,0.333,3.3,0.386,1.3,0.786,0.6,0.7,0.4,0.429,30,0.4,0
Jonas Valanciunas,2016-17,24,11.8,10.2,0.7,27.1,2.8,0.8,2.9,,8.9,0.531,4.7,0.863,0.5,1.5,0.531,0.586,44,0,44
Denzel Valentine,2016-17,23,3.3,1.6,0.6,11.9,0.3,0.1,1,0.313,3.6,0.333,1.1,0.875,0.5,0.6,0.428,0.448,27,2.5,0
Fred VanVleet,2016-17,22,2,0.8,0.6,5.8,0.1,0.1,0.6,0.4,2.3,0.385,0.9,0,0.5,0.1,0.444,0.434,16,0.6,0
Anderson Varejao,2016-17,34,1.2,2.1,0.7,6.6,0.8,0.2,0.9,,0.9,0.3,0.3,0.778,0.2,0.6,0.3,0.466,11,0,1
Greivis Vasquez,2016-17,30,2.3,0.7,1.7,13,1,0.3,2,0.333,2.7,0.2,0.7,0.667,0.3,0.3,0.313,0.376,3,1,0
Rashad Vaughn,2016-17,20,4.1,0.9,0.3,10.5,0,0.2,0.6,0.378,4,0.419,1.6,,0.4,0.2,0.507,0.507,19,2.4,0
Noah Vonleh,2016-17,21,3.4,3.8,0.2,12.4,0.9,0.4,1.5,0.35,3.2,0.437,1.3,0.622,0.3,0.7,0.451,0.481,39,0.5,7
Nikola Vucevic,2016-17,26,13.8,9.8,2.8,28.1,1.8,1,2.3,0.275,13.1,0.488,6.2,0.633,0.9,1.6,0.483,0.496,44,0.9,24
Sasha Vujacic,2016-17,32,2.1,1.2,0.8,8.2,0.4,0,0.8,0.3,2.1,0.4,0.7,0.778,0.3,0.4,0.43,0.463,24,1.3,2
Dwyane Wade,2016-17,35,19.1,4.2,3.7,30.6,5.1,0.7,1.9,0.319,16.6,0.45,7.1,0.793,1.6,2.2,0.454,0.507,42,2.7,42
Dion Waiters,2016-17,25,14.9,3.3,3.9,30.2,2.7,0.4,2.4,0.379,14,,,,,,,,,,
