Player,Season,Age,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,FGM,ft%,Steals,Turnovers,EFG%,TS%,Games,3pa,Games Started
Doug McDermott,2016-17,25,9.9,3.2,1.1,25.3,1.4,0.1,1.3,0.362,8.5,0.48,3.7,0.898,0.3,0.7,0.505,0.541,34,3.4,2
JaVale McGee,2016-17,29,5.5,2.5,0.2,8.2,1.3,0.6,1.2,0,3.7,0.687,2.5,0.444,0.2,0.6,0.673,0.65,41,0.1,2
Rodney McGruder,2016-17,25,5.6,3.4,1.5,25.6,1,0.2,2,0.312,5.5,0.442,2.1,0.636,0.6,0.6,0.454,0.475,42,2.6,29
Ben McLemore,2016-17,23,5.2,1.2,0.6,15,0.8,0.1,1.2,0.286,5.1,0.467,2,0.75,0.4,0.8,0.452,0.48,33,1.9,14
Jordan McRae,2016-17,25,4.7,1.2,0.6,10.4,1.1,0.2,0.9,0.316,4.4,0.407,1.7,0.806,0.3,0.4,0.427,0.476,28,1.4,3
Josh McRoberts,2016-17,29,4.9,3.4,2.3,17.3,0.4,0.2,1.4,0.419,5.4,0.356,2,0.667,0.5,1,0.428,0.439,22,1.4,14
Jodie Meeks,2016-17,29,8.9,2.3,1.5,21.7,1.8,0.1,1.2,0.404,7,0.43,2.9,0.905,1.2,1,0.524,0.574,24,3.7,9
Salah Mejri,2016-17,30,2.5,4.4,0.3,13.6,0.6,0.9,2.4,0,1.7,0.672,1.1,0.583,0.5,0.7,0.652,0.653,40,0.1,11
Jordan Mickey,2016-17,22,2.3,1.8,0.4,8.2,0.8,0.2,0.7,,2,0.462,0.9,0.6,0.2,0.5,0.462,0.493,13,0,1
C.J. Miles,2016-17,29,10.5,3,0.6,22.2,1.4,0.4,1.9,0.412,8.5,0.446,3.6,0.855,0.7,0.5,0.547,0.575,39,5,5
Mike Miller,2016-17,36,1.8,1.5,0.9,5.1,0.3,0,0.3,0.571,1.1,0,0.5,1,0,0.5,0.667,0.709,8,0.9,0
Patty Mills,2016-17,28,10.4,1.8,3.4,22.1,1.2,0,1.4,0.435,8,0.497,3.7,0.852,0.9,1.4,0.581,0.605,44,4.3,4
Paul Millsap,2016-17,31,18,8.1,3.8,34,5.2,1,2.6,0.335,14.4,0.481,6.4,0.75,1.5,2.3,0.486,0.536,43,3.6,43
Nikola Mirotic,2016-17,25,9.2,5.3,0.8,22.9,1.8,0.8,1.9,0.304,8.3,0.496,3.1,0.77,0.7,1.1,0.472,0.507,41,5,2
