W-L%,PTS,SOS,Season
0.9,,2.15,1962-63* RTF
0.9,,2.15,1962-63* RTF
0.9,,2.15,1962-63* RTF
0.9,,2.15,1962-63* RTF
0.9,,2.15,1962-63* RTF
0.9,,2.15,1962-63* RTF
W-L%,PTS,SOS,Season
0.8,,2.15,1961-62
0.8,,2.15,1961-62
0.8,,2.15,1961-62
0.8,,2.15,1961-62
0.8,,2.15,1961-62
0.8,,2.15,1961-62
0.8,,2.15,1961-62
0.8,,2.15,1961-62
0.8,,2.15,1961-62
0.8,,2.15,1961-62
0.8,,2.15,1961-62
0.8,,2.15,1961-62
0.8,,2.15,1961-62
0.8,,2.15,1961-62
W-L%,PTS,SOS,Season
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
0.786,,-0.89,1960-61
W-L%,PTS,SOS,Season
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
0.607,,2.93,1959-60* T
W-L%,PTS,SOS,Season
0.52,,2.85,1958-59
0.52,,2.85,1958-59
0.52,,2.85,1958-59
0.52,,2.85,1958-59
0.52,,2.85,1958-59
0.52,,2.85,1958-59
0.52,,2.85,1958-59
0.52,,2.85,1958-59
0.52,,2.85,1958-59
0.52,,2.85,1958-59
0.52,,2.85,1958-59
0.52,,2.85,1958-59
0.52,,2.85,1958-59
0.52,,2.85,1958-59
W-L%,PTS,SOS,Season
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
0.72,,1.29,1957-58 R
W-L%,PTS,SOS,Season
0.542,,3.26,1956-57
0.542,,3.26,1956-57
0.542,,3.26,1956-57
0.542,,3.26,1956-57
0.542,,3.26,1956-57
0.542,,3.26,1956-57
0.542,,3.26,1956-57
0.542,,3.26,1956-57
0.542,,3.26,1956-57
0.542,,3.26,1956-57
0.542,,3.26,1956-57
0.542,,3.26,1956-57
0.542,,3.26,1956-57
0.542,,3.26,1956-57
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
0.731,,3.36,1955-56
0.731,,3.36,1955-56
0.731,,3.36,1955-56
0.731,,3.36,1955-56
0.731,,3.36,1955-56
0.731,,3.36,1955-56
0.731,,3.36,1955-56
0.731,,3.36,1955-56
0.731,,3.36,1955-56
0.731,,3.36,1955-56
0.731,,3.36,1955-56
0.731,,3.36,1955-56
0.731,,3.36,1955-56
0.731,,3.36,1955-56
W-L%,PTS,SOS,Season
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
0.714,,0.13,1954-55*
W-L%,PTS,SOS,Season
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
0.778,,-1.72,1953-54 R
W-L%,PTS,SOS,Season
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
0.68,,-1.19,1952-53
W-L%,PTS,SOS,Season
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
0.8,,-4.22,1951-52
W-L%,PTS,SOS,Season
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
0.606,,-6.34,1950-51
W-L%,PTS,SOS,Season
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
0.5,,-7.18,1949-50
W-L%,PTS,SOS,Season
0.591,,,1948-49
0.591,,,1948-49
0.591,,,1948-49
0.591,,,1948-49
0.591,,,1948-49
0.591,,,1948-49
0.591,,,1948-49
0.591,,,1948-49
0.591,,,1948-49
0.591,,,1948-49
0.591,,,1948-49
0.591,,,1948-49
0.591,,,1948-49
0.591,,,1948-49
W-L%,PTS,SOS,Season
0.586,,,1947-48
0.586,,,1947-48
0.586,,,1947-48
0.586,,,1947-48
0.586,,,1947-48
0.586,,,1947-48
0.586,,,1947-48
0.586,,,1947-48
0.586,,,1947-48
0.586,,,1947-48
0.586,,,1947-48
0.586,,,1947-48
0.586,,,1947-48
0.586,,,1947-48
W-L%,PTS,SOS,Season
0.704,,,1946-47
0.704,,,1946-47
0.704,,,1946-47
0.704,,,1946-47
0.704,,,1946-47
0.704,,,1946-47
0.704,,,1946-47
0.704,,,1946-47
0.704,,,1946-47
0.704,,,1946-47
0.704,,,1946-47
0.704,,,1946-47
0.704,,,1946-47
0.704,,,1946-47
W-L%,PTS,SOS,Season
0.778,,,1945-46 T
0.778,,,1945-46 T
0.778,,,1945-46 T
0.778,,,1945-46 T
0.778,,,1945-46 T
0.778,,,1945-46 T
0.778,,,1945-46 T
0.778,,,1945-46 T
0.778,,,1945-46 T
0.778,,,1945-46 T
0.778,,,1945-46 T
0.778,,,1945-46 T
0.778,,,1945-46 T
0.778,,,1945-46 T
W-L%,PTS,SOS,Season
0.591,,,1944-45
0.591,,,1944-45
0.591,,,1944-45
0.591,,,1944-45
0.591,,,1944-45
0.591,,,1944-45
0.591,,,1944-45
0.591,,,1944-45
0.591,,,1944-45
0.591,,,1944-45
0.591,,,1944-45
0.591,,,1944-45
0.591,,,1944-45
0.591,,,1944-45
W-L%,PTS,SOS,Season
0.5,,,1943-44 T
0.5,,,1943-44 T
0.5,,,1943-44 T
0.5,,,1943-44 T
0.5,,,1943-44 T
0.5,,,1943-44 T
0.5,,,1943-44 T
0.5,,,1943-44 T
0.5,,,1943-44 T
0.5,,,1943-44 T
0.5,,,1943-44 T
0.5,,,1943-44 T
0.5,,,1943-44 T
0.5,,,1943-44 T
W-L%,PTS,SOS,Season
0.769,,,1942-43 R
0.769,,,1942-43 R
0.769,,,1942-43 R
0.769,,,1942-43 R
0.769,,,1942-43 R
0.769,,,1942-43 R
0.769,,,1942-43 R
0.769,,,1942-43 R
0.769,,,1942-43 R
0.769,,,1942-43 R
0.769,,,1942-43 R
0.769,,,1942-43 R
0.769,,,1942-43 R
0.769,,,1942-43 R
W-L%,PTS,SOS,Season
0.917,,,1941-42 RT
0.917,,,1941-42 RT
0.917,,,1941-42 RT
0.917,,,1941-42 RT
0.917,,,1941-42 RT
0.917,,,1941-42 RT
0.917,,,1941-42 RT
0.917,,,1941-42 RT
0.917,,,1941-42 RT
0.917,,,1941-42 RT
0.917,,,1941-42 RT
0.917,,,1941-42 RT
0.917,,,1941-42 RT
0.917,,,1941-42 RT
W-L%,PTS,SOS,Season
0.636,,,1940-41 T
0.636,,,1940-41 T
0.636,,,1940-41 T
0.636,,,1940-41 T
0.636,,,1940-41 T
0.636,,,1940-41 T
0.636,,,1940-41 T
0.636,,,1940-41 T
0.636,,,1940-41 T
0.636,,,1940-41 T
0.636,,,1940-41 T
0.636,,,1940-41 T
0.636,,,1940-41 T
0.636,,,1940-41 T
W-L%,PTS,SOS,Season
0.731,,,1939-40 R
0.731,,,1939-40 R
0.731,,,1939-40 R
0.731,,,1939-40 R
0.731,,,1939-40 R
0.731,,,1939-40 R
0.731,,,1939-40 R
0.731,,,1939-40 R
0.731,,,1939-40 R
0.731,,,1939-40 R
0.731,,,1939-40 R
0.731,,,1939-40 R
0.731,,,1939-40 R
0.731,,,1939-40 R
W-L%,PTS,SOS,Season
0.455,,,1938-39
0.455,,,1938-39
0.455,,,1938-39
0.455,,,1938-39
0.455,,,1938-39
0.455,,,1938-39
0.455,,,1938-39
0.455,,,1938-39
0.455,,,1938-39
0.455,,,1938-39
0.455,,,1938-39
0.455,,,1938-39
0.455,,,1938-39
0.455,,,1938-39
W-L%,PTS,SOS,Season
0.625,,,1937-38
0.625,,,1937-38
0.625,,,1937-38
0.625,,,1937-38
0.625,,,1937-38
0.625,,,1937-38
0.625,,,1937-38
0.625,,,1937-38
0.625,,,1937-38
0.625,,,1937-38
0.625,,,1937-38
0.625,,,1937-38
0.625,,,1937-38
0.625,,,1937-38
W-L%,PTS,SOS,Season
0.652,,,1936-37
0.652,,,1936-37
0.652,,,1936-37
0.652,,,1936-37
0.652,,,1936-37
0.652,,,1936-37
0.652,,,1936-37
0.652,,,1936-37
0.652,,,1936-37
0.652,,,1936-37
0.652,,,1936-37
0.652,,,1936-37
0.652,,,1936-37
0.652,,,1936-37
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
0.769,,,1935-36
0.769,,,1935-36
0.769,,,1935-36
0.769,,,1935-36
0.769,,,1935-36
0.769,,,1935-36
0.769,,,1935-36
0.769,,,1935-36
0.769,,,1935-36
0.769,,,1935-36
0.769,,,1935-36
0.769,,,1935-36
0.769,,,1935-36
0.769,,,1935-36
W-L%,PTS,SOS,Season
0.692,,,1934-35
0.692,,,1934-35
0.692,,,1934-35
0.692,,,1934-35
0.692,,,1934-35
0.692,,,1934-35
0.692,,,1934-35
0.692,,,1934-35
0.692,,,1934-35
0.692,,,1934-35
0.692,,,1934-35
0.692,,,1934-35
0.692,,,1934-35
0.692,,,1934-35
W-L%,PTS,SOS,Season
0.75,,,1933-34
0.75,,,1933-34
0.75,,,1933-34
0.75,,,1933-34
0.75,,,1933-34
0.75,,,1933-34
0.75,,,1933-34
0.75,,,1933-34
0.75,,,1933-34
0.75,,,1933-34
0.75,,,1933-34
0.75,,,1933-34
0.75,,,1933-34
0.75,,,1933-34
W-L%,PTS,SOS,Season
0.773,,,1932-33
0.773,,,1932-33
0.773,,,1932-33
0.773,,,1932-33
0.773,,,1932-33
0.773,,,1932-33
0.773,,,1932-33
0.773,,,1932-33
0.773,,,1932-33
0.773,,,1932-33
0.773,,,1932-33
0.773,,,1932-33
0.773,,,1932-33
0.773,,,1932-33
W-L%,PTS,SOS,Season
0.56,,,1931-32
0.56,,,1931-32
0.56,,,1931-32
0.56,,,1931-32
0.56,,,1931-32
0.56,,,1931-32
0.56,,,1931-32
0.56,,,1931-32
0.56,,,1931-32
0.56,,,1931-32
0.56,,,1931-32
0.56,,,1931-32
0.56,,,1931-32
0.56,,,1931-32
W-L%,PTS,SOS,Season
0.667,,,1930-31
0.667,,,1930-31
0.667,,,1930-31
0.667,,,1930-31
0.667,,,1930-31
0.667,,,1930-31
0.667,,,1930-31
0.667,,,1930-31
0.667,,,1930-31
0.667,,,1930-31
0.667,,,1930-31
0.667,,,1930-31
0.667,,,1930-31
0.667,,,1930-31
W-L%,PTS,SOS,Season
0.9,,,1929-30
0.9,,,1929-30
0.9,,,1929-30
0.9,,,1929-30
0.9,,,1929-30
0.9,,,1929-30
0.9,,,1929-30
0.9,,,1929-30
0.9,,,1929-30
0.9,,,1929-30
0.9,,,1929-30
0.9,,,1929-30
0.9,,,1929-30
0.9,,,1929-30
W-L%,PTS,SOS,Season
0.6,,,1928-29
0.6,,,1928-29
0.6,,,1928-29
0.6,,,1928-29
0.6,,,1928-29
0.6,,,1928-29
0.6,,,1928-29
0.6,,,1928-29
0.6,,,1928-29
0.6,,,1928-29
0.6,,,1928-29
0.6,,,1928-29
0.6,,,1928-29
0.6,,,1928-29
W-L%,PTS,SOS,Season
0.643,,,1927-28
0.643,,,1927-28
0.643,,,1927-28
0.643,,,1927-28
0.643,,,1927-28
0.643,,,1927-28
0.643,,,1927-28
0.643,,,1927-28
0.643,,,1927-28
0.643,,,1927-28
0.643,,,1927-28
0.643,,,1927-28
0.643,,,1927-28
0.643,,,1927-28
W-L%,PTS,SOS,Season
0.286,,,1926-27
0.286,,,1926-27
0.286,,,1926-27
0.286,,,1926-27
0.286,,,1926-27
0.286,,,1926-27
0.286,,,1926-27
0.286,,,1926-27
0.286,,,1926-27
0.286,,,1926-27
0.286,,,1926-27
0.286,,,1926-27
0.286,,,1926-27
0.286,,,1926-27
W-L%,PTS,SOS,Season
0.4,,,1925-26
0.4,,,1925-26
0.4,,,1925-26
0.4,,,1925-26
0.4,,,1925-26
0.4,,,1925-26
0.4,,,1925-26
0.4,,,1925-26
0.4,,,1925-26
0.4,,,1925-26
0.4,,,1925-26
0.4,,,1925-26
0.4,,,1925-26
0.4,,,1925-26
W-L%,PTS,SOS,Season
0.308,,,1924-25
0.308,,,1924-25
0.308,,,1924-25
0.308,,,1924-25
0.308,,,1924-25
0.308,,,1924-25
0.308,,,1924-25
0.308,,,1924-25
0.308,,,1924-25
0.308,,,1924-25
0.308,,,1924-25
0.308,,,1924-25
0.308,,,1924-25
0.308,,,1924-25
W-L%,PTS,SOS,Season
0.76,,,1923-24
0.76,,,1923-24
0.76,,,1923-24
0.76,,,1923-24
0.76,,,1923-24
0.76,,,1923-24
0.76,,,1923-24
0.76,,,1923-24
0.76,,,1923-24
0.76,,,1923-24
0.76,,,1923-24
0.76,,,1923-24
0.76,,,1923-24
0.76,,,1923-24
W-L%,PTS,SOS,Season
0.682,,,1922-23
0.682,,,1922-23
0.682,,,1922-23
0.682,,,1922-23
0.682,,,1922-23
0.682,,,1922-23
0.682,,,1922-23
0.682,,,1922-23
0.682,,,1922-23
0.682,,,1922-23
0.682,,,1922-23
0.682,,,1922-23
0.682,,,1922-23
0.682,,,1922-23
W-L%,PTS,SOS,Season
0.333,,,1921-22
0.333,,,1921-22
0.333,,,1921-22
0.333,,,1921-22
0.333,,,1921-22
0.333,,,1921-22
0.333,,,1921-22
0.333,,,1921-22
0.333,,,1921-22
0.333,,,1921-22
0.333,,,1921-22
0.333,,,1921-22
0.333,,,1921-22
0.333,,,1921-22
W-L%,PTS,SOS,Season
0.6,,,1920-21
0.6,,,1920-21
0.6,,,1920-21
0.6,,,1920-21
0.6,,,1920-21
0.6,,,1920-21
0.6,,,1920-21
0.6,,,1920-21
0.6,,,1920-21
0.6,,,1920-21
0.6,,,1920-21
0.6,,,1920-21
0.6,,,1920-21
0.6,,,1920-21
W-L%,PTS,SOS,Season
0.714,,,1919-20
0.714,,,1919-20
0.714,,,1919-20
0.714,,,1919-20
0.714,,,1919-20
0.714,,,1919-20
0.714,,,1919-20
0.714,,,1919-20
0.714,,,1919-20
0.714,,,1919-20
0.714,,,1919-20
0.714,,,1919-20
0.714,,,1919-20
0.714,,,1919-20
W-L%,PTS,SOS,Season
0.545,,,1918-19
0.545,,,1918-19
0.545,,,1918-19
0.545,,,1918-19
0.545,,,1918-19
0.545,,,1918-19
0.545,,,1918-19
0.545,,,1918-19
0.545,,,1918-19
0.545,,,1918-19
0.545,,,1918-19
0.545,,,1918-19
0.545,,,1918-19
0.545,,,1918-19
W-L%,PTS,SOS,Season
0.667,,,1917-18
0.667,,,1917-18
0.667,,,1917-18
0.667,,,1917-18
0.667,,,1917-18
0.667,,,1917-18
0.667,,,1917-18
0.667,,,1917-18
0.667,,,1917-18
0.667,,,1917-18
0.667,,,1917-18
0.667,,,1917-18
0.667,,,1917-18
0.667,,,1917-18
W-L%,PTS,SOS,Season
0.833,,,1916-17
0.833,,,1916-17
0.833,,,1916-17
0.833,,,1916-17
0.833,,,1916-17
0.833,,,1916-17
0.833,,,1916-17
0.833,,,1916-17
0.833,,,1916-17
0.833,,,1916-17
0.833,,,1916-17
0.833,,,1916-17
0.833,,,1916-17
0.833,,,1916-17
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
0.45,,,1915-16
0.45,,,1915-16
0.45,,,1915-16
0.45,,,1915-16
0.45,,,1915-16
0.45,,,1915-16
0.45,,,1915-16
0.45,,,1915-16
0.45,,,1915-16
0.45,,,1915-16
0.45,,,1915-16
0.45,,,1915-16
0.45,,,1915-16
0.45,,,1915-16
W-L%,PTS,SOS,Season
0.5,,,1914-15
0.5,,,1914-15
0.5,,,1914-15
0.5,,,1914-15
0.5,,,1914-15
0.5,,,1914-15
0.5,,,1914-15
0.5,,,1914-15
0.5,,,1914-15
0.5,,,1914-15
0.5,,,1914-15
0.5,,,1914-15
0.5,,,1914-15
0.5,,,1914-15
W-L%,PTS,SOS,Season
0.571,,,1913-14
0.571,,,1913-14
0.571,,,1913-14
0.571,,,1913-14
0.571,,,1913-14
0.571,,,1913-14
0.571,,,1913-14
0.571,,,1913-14
0.571,,,1913-14
0.571,,,1913-14
0.571,,,1913-14
0.571,,,1913-14
0.571,,,1913-14
0.571,,,1913-14
W-L%,PTS,SOS,Season
0.579,,,1912-13
0.579,,,1912-13
0.579,,,1912-13
0.579,,,1912-13
0.579,,,1912-13
0.579,,,1912-13
0.579,,,1912-13
0.579,,,1912-13
0.579,,,1912-13
0.579,,,1912-13
0.579,,,1912-13
0.579,,,1912-13
0.579,,,1912-13
0.579,,,1912-13
W-L%,PTS,SOS,Season
0.857,,,1911-12
0.857,,,1911-12
0.857,,,1911-12
0.857,,,1911-12
0.857,,,1911-12
0.857,,,1911-12
0.857,,,1911-12
0.857,,,1911-12
0.857,,,1911-12
0.857,,,1911-12
0.857,,,1911-12
0.857,,,1911-12
0.857,,,1911-12
0.857,,,1911-12
W-L%,PTS,SOS,Season
0.571,,,1910-11
0.571,,,1910-11
0.571,,,1910-11
0.571,,,1910-11
0.571,,,1910-11
0.571,,,1910-11
0.571,,,1910-11
0.571,,,1910-11
0.571,,,1910-11
0.571,,,1910-11
0.571,,,1910-11
0.571,,,1910-11
0.571,,,1910-11
0.571,,,1910-11
W-L%,PTS,SOS,Season
0.5,,,1909-10
0.5,,,1909-10
0.5,,,1909-10
0.5,,,1909-10
0.5,,,1909-10
0.5,,,1909-10
0.5,,,1909-10
0.5,,,1909-10
0.5,,,1909-10
0.5,,,1909-10
0.5,,,1909-10
0.5,,,1909-10
0.5,,,1909-10
0.5,,,1909-10
W-L%,PTS,SOS,Season
0.889,,,1908-09
0.889,,,1908-09
0.889,,,1908-09
0.889,,,1908-09
0.889,,,1908-09
0.889,,,1908-09
0.889,,,1908-09
0.889,,,1908-09
0.889,,,1908-09
0.889,,,1908-09
0.889,,,1908-09
0.889,,,1908-09
0.889,,,1908-09
0.889,,,1908-09
W-L%,PTS,SOS,Season
0.4,,,1907-08
0.4,,,1907-08
0.4,,,1907-08
0.4,,,1907-08
0.4,,,1907-08
0.4,,,1907-08
0.4,,,1907-08
0.4,,,1907-08
0.4,,,1907-08
0.4,,,1907-08
0.4,,,1907-08
0.4,,,1907-08
0.4,,,1907-08
0.4,,,1907-08
W-L%,PTS,SOS,Season
0.667,,,1906-07
0.667,,,1906-07
0.667,,,1906-07
0.667,,,1906-07
0.667,,,1906-07
0.667,,,1906-07
0.667,,,1906-07
0.667,,,1906-07
0.667,,,1906-07
0.667,,,1906-07
0.667,,,1906-07
0.667,,,1906-07
0.667,,,1906-07
0.667,,,1906-07
W-L%,PTS,SOS,Season
0.4,,,1905-06
0.4,,,1905-06
0.4,,,1905-06
0.4,,,1905-06
0.4,,,1905-06
0.4,,,1905-06
0.4,,,1905-06
0.4,,,1905-06
0.4,,,1905-06
0.4,,,1905-06
0.4,,,1905-06
0.4,,,1905-06
0.4,,,1905-06
0.4,,,1905-06
