W-L%,PTS,SOS,Season
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
W-L%,PTS,SOS,Season
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
W-L%,PTS,SOS,Season
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
W-L%,PTS,SOS,Season
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
W-L%,PTS,SOS,Season
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
0.897,70.5,11.98,2000-01* RTFN
W-L%,PTS,SOS,Season
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
0.853,71.3,8.88,1999-00* RT
W-L%,PTS,SOS,Season
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
0.949,67.2,10.14,1998-99* RTF
W-L%,PTS,SOS,Season
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
0.889,64.1,9.33,1997-98* R
W-L%,PTS,SOS,Season
0.727,66.2,9.27,1996-97* R
0.727,66.2,9.27,1996-97* R
